question,answer
"What is the difference between the Vibe S1 55"" and 75"" interactive whiteboards?","The main difference is the size and the price. Both boards run on Chromium OS and have similar capabilities. The Vibe S1 55"" can have an attachable camera (SmartCam) purchased as part of a bundle, while the Vibe S1 75"" Pro is compatible with most cameras that support standard Universal Video Class (UVC)."
"Does the Vibe S1 55"" come with a passive or active stylus?","The Vibe S1 55"" comes with a passive stylus for writing and making selections on the board; it has no buttons or special features."
What features does the active stylus have?,The active stylus has three buttons for the eraser and page up and down functions.
What bulk discount does Vibe offer?,"Vibe offers the following bulk discounts: 3-5 boards: 5% discount, 6-10 boards: 10% discount, and 11 or more boards: 15% discount."
What is Vibe's return policy for their interactive boards?,Vibe offers a 30-day return policy where customers can return the device within 30 days of the delivery date and would only need to cover the cost of shipping back to the warehouse.
Can you get a better discount for a single board to test out?,"There is no current promotion for single board testing, however, new visitors to the Vibe website may come across a random pop-up to sign up for the WELCOME100 offer, which provides a $100 discount towards the purchase of a Vibe board."
How long does shipping take within the US?,"Shipping time within the US is approximately 5-7 business days, after a processing time of 1-2 days."
Can we use Excel on the Vibe interactive whiteboards?,"Yes, Vibe Boards support Microsoft Office apps and many third-party apps, and users can access vetted apps or download additional ones from the Google Play Store or the Chrome Web Store."
"Does the 75"" Vibe Board have a USB plug for a keyboard and mouse?","(The conversation does not explicitly confirm this, but it is implied that you can connect a keyboard and mouse. Please schedule a demo for detailed specifications.)"
How does the profile setup work on the Vibe Board?,"To understand how profile setup works on the Vibe Board, including whether it's connected to a domain or server, it would be best to join a live demo. (The conversation directs the customer to schedule a demo with an expert for an in-depth explanation.)"
Why are only the volume and brightness buttons working on my Vibe whiteboard remote?,"Only a select number of buttons on the remote are programmed for use with the board. Please press the ""Ok"" button before pressing other buttons, and ensure to point directly at the power light on the board."
How can I connect a laptop with HDMI if other functions on the remote do not work?,You can still use the provided remote to switch to HDMI input for connecting a laptop.
Do I need a USB cable to connect to the display?,"The USB cable is necessary for the touchback functionality when using HDMI. However, HDMI alone should allow screen casting without touchback control."
I'm unable to screen cast. What should I do?,"If the initial troubleshooting provided by the sales assistant does not resolve the issue, please reach out to Vibe support at support@vibe.us or submit a support ticket for further assistance."
Is there a lead time on Vibe boards?,All our products are in stock and available to ship. It typically takes 1-2 days to process an order. Shipping time within the US is approximately 5-7 business days.
How can I apply the $100 discount on the website?,The $100 discount can be applied by entering the code WELCOME100 during checkout on the Vibe website.
"Does the 75"" Vibe board come with a camera?","The Vibe S1 75 Inch Interactive Whiteboard does not have a built-in camera. However, cameras that support the Universal Video Class (UVC) standard should work with the device, and a list of compatible cameras can be found on the Vibe website."
Can Vibe boards connect to each other for meetings with interaction on the whiteboard?,"Yes, Vibe boards can connect via cloud-based software for shared collaborations whether through additional Vibe Boards, computer browsers, or tablets, as long as there is WiFi available."
Are there any bulk purchase discounts available?,"A volume discount is available for the purchase of 3 boards. There are no volume discounts for two boards, but a discount on the third board might be arranged."
Is free shipping available in the US?,"Yes, free curbside delivery is offered in the US, there's no need to pay additional for shipping unless there are special delivery requirements."
What is the standard delivery time after placing an order?,"After placing an order, it typically takes 1-2 days to process, and the shipping time within the US is approximately 5-7 business days."
"If I place an order today for a 75"" interactive whiteboard, when will it arrive to zip code 29909?","Shipping time is estimated to be 5-7 business days after 1-2 days of order processing, but rush options may be available upon request."
Is there a rush shipping option available for the Vibe S1 75 Inch Interactive Whiteboard?,"Yes, rush shipping options may be available and can be discussed by providing the full shipping address so a quote can be created."
"What TV mount can I use for the 75"" Vibe Board and the 55"" S1 Vibe Board?","For the 75"" Vibe Board, it comes with a complimentary wall mount included. For the S1 55"" Vibe Board, most TV wall mounts that support VESA 200X200 and can support at least 65 pounds should work. The supported screw model is M6 with a length between 12-20mm."
"Does the complimentary mount for the 75"" Vibe Board allow you to pull it out and swivel?","No, the mount that comes with the 75"" Vibe Board doesn't articulate."
Does the Vibe Smart Touch Remote work with all vibe boards? Specifically Model S5501AUS,"The Vibe Board S1 55"" does not have a remote. However, you can use the VibeOne app to control certain features of the board."
"Can the VibeOne app change inputs on the Vibe Board S1 55""?","No, changing inputs using the VibeOne app is not possible."
"How do I claim the $300 savings for the 55"" model?","The $300 savings refers to free standard shipping throughout the Continental US, which is applied at checkout."
Does the Vibe S1 55 Inch Interactive Whiteboard have an HDMI out?,"No, the Vibe S1 does not have an HDMI out. You will need to use a USB-C to HDMI adapter for the S1 board."
What is the WELCOME100 offer?,The WELCOME100 offer is a $100 discount for new visitors who sign up on the Vibe website.
"Is there a difference between the Vibe S1 55"" and the 75"" model other than size?",The main differences are size and price. Both models run on Chromium OS and offer similar capabilities.
Are there any cameras that are compatible with the Vibe S1 75 Inch Interactive Whiteboard?,"Yes, most cameras compatible with Universal Video Class (UVC) should work, including eMeet C980 Pro Webcam, Logitech BRIO, Logitech Conference Cam Bcc950, Logitech Meetup, Meeting Owl Pro, and Poly Studio P15."
Can the USB or USB C ports on the Vibe Board be used for output to broadcast computer as an HDMI input?,"Yes, the Vibe Board's USB C Port 2 - Display Port Out can be used to output directly to a broadcast computer as an HDMI input."
Are Vibe smartboards used in education?,"Yes, our boards have been used in the education environment."
Are the smartboards mountable?,"Yes, our boards are mountable."
Can external speakers be connected to the Vibe board?,"Yes, you can connect external speakers to the Vibe board, including USB and USB-C connected speakers."
Do the Vibe boards have a USB-C connection for audio?,"The 55"" S1 board has a USB-C connection for audio, while the 75"" board has a USB connection."
Do the Vibe boards include built-in microphones?,"No, the Vibe boards have built-in speakers but no microphones."
What is the process to become a Vibe reseller?,"To become a reseller, you need to send in your valid Reseller Certificate and W9. For a quote, you'll have to include the Vibe products and quantity you're interested in along with the shipping address. A reseller agreement may be required for orders of 5 or more Vibe Smartboards or accumulated sales of over 15 Vibe Smartboards."
Where can I find a demo or intro to the Vibe board?,"There is a 4-minute product tour available, as well as tutorial and feature videos on the Vibe YouTube channel that demonstrate how the boards work."
How can I arrange a virtual demo of the Vibe board with my client?,You can schedule a virtual demo with a Vibe account executive by following the provided link and setting up a session.
Where can I find retail pricing for Vibe boards?,"The Manufacturer's Suggested Retail Price (MSRP) is displayed on the Vibe website. Prices for the S1 55"" is $3199 and $3299, for S1 75"" it's $5799, and for Pro 75"" it's $6299."
Can Vibe ship to international locations?,"Currently, Vibe only ships within the US."
"What is included in the box with the Vibe S1 55"" Interactive Whiteboard?","Within the box you will get the Vibe Board S1 55"", one stylus, a power cord, and a quick start guide."
"What is included in the box with the Vibe S1 75"" Interactive Whiteboard?","Within the box you will get the Vibe Board Pro 75"", two styluses, a wall mount, a remote control, an HDMI cord & USB cable, a power cord, and a quick start guide."
"Is there an additional cost for a stand with the Vibe S1 75"" Interactive Whiteboard?","Yes, the stand is an additional cost of $899 USD."
What should I do if I want a quote for Vibe products?,Please use the Request a Quote page on the Vibe website to submit your information and our team will get in touch with a quote.
Does Vibe sell SMART boards?,"No, Vibe does not sell SMART boards, only Vibe boards."
Can a Vibe device be connected to a room PA system?,The audio output from the Vibe boards is usually USB or Bluetooth speakers.
Do we need multiple accounts to make use of the Vibe Canvas software?,"Yes, each user needs a separate account, which is free of cost. For a single board, you can create a single sign-in or different user logins, and for accessing from multiple devices like laptops or tablets, separate accounts can be created."
Is there a way to wipe the board after each session for privacy in a university setting?,"It is suggested to join a demo to see how the Vibe boards work, as this will help in exploring the best solution for user management and privacy in a university setting, where multiple users access the equipment."
How can we become a registered Vibe reseller?,"To become a Vibe reseller, visit the Vibe Reseller Program website and fill in the Vibe Reseller Partner form. Additionally, provide your resale certificate, W-9, and tax forms through the email ""Following up! Vibe reseller opportunity."""
How can I get an official reseller quote for Vibe products?,"Once you have provided your resale certificate, W-9, and tax forms, a member of the sales team will reach out and provide you with an official reseller quote."
What are the VESA measurements for the Vibe S1 55 Inch Interactive Whiteboard?,The Vibe S1 55 Inch Interactive Whiteboard supports VESA 200X200.
What is the weight support required for a TV wall mount to hold the Vibe S1 55 Inch Interactive Whiteboard?,The TV wall mount should support at least 65 pounds for the Vibe S1 55 Inch Interactive Whiteboard.
What screw model is supported by the Vibe S1 55 Inch Interactive Whiteboard for mounting?,"The Vibe S1 55 Inch Interactive Whiteboard supports the screw model M6, with a length that should be between 12-20mm depending on the mount."
How many holes or slots are there for wall mounting the Vibe S1 55 Inch Interactive Whiteboard?,There are four holes/slots at the back of the Vibe S1 55 Inch Interactive Whiteboard to accommodate the wall mount.
"Can the Vibe Board 55"" be wall mounted?","Yes, all Vibe Boards can be wall mounted. The Vibe S1 Board 55"" requires a TV wall mount that supports VESA 200X200 and can support at least 65 pounds."
How to obtain a quote for Vibe products?,"To build a quote, the sales team requires your billing/shipping address, contact name, contact number, and the name and number of items you would like to purchase. If you are sales tax exempt, you need to provide a sales tax-exempt form for tax adjustments."
How long is the quote valid for?,The quote is valid for a month.
What is the turnaround time from the time the order is placed?,"It typically takes 1-2 days to process an order. Shipping time within the US is approximately 5-7 business days, depending on location."
How can I order the camera that goes with the Vibe board?,You can use the purchase link provided by the sales assistant to order the Vibe C1 AI Camera for your board.
Can the Vibe board help children with learning disorders?,"Yes, the Vibe board is a suitable tool for visual, auditory, and kinesthetic learners and can also support children with ADHD, dyslexia, and hearing or vision problems."
What sizes do Vibe interactive whiteboards come in?,Vibe offers a 55 Inch and a 75 Inch Interactive Whiteboard.
"Does the 55"" Vibe S1 Board come with any accessories?","Yes, the 55” Vibe S1 Board comes with a stylus, power cord, and a quick start guide."
Is there a free software option available to try before purchasing the Vibe board?,"Yes, there is a free whiteboarding software available via the Vibe web app."
Are there any resources available to understand how to use the Vibe board for teaching?,"Yes, there is a 20-minute demo called ""Teaching with Vibe"", case studies from educators, as well as Education blogs available as resources."
Can I return the Vibe board if it doesn't meet my needs?,"Yes, there is a 30-day return policy where you can return the board within 30 days of delivery, only covering the cost of shipping back to the warehouse."
How do I initiate a payment after starting a free trial with Vibe?,Payments can be made using a card directly on the Vibe website.
Do you offer discounts for non profits?,"We do not have a special nonprofit pricing or discount. Our pricing is competitive and includes free shipping within the US. For purchases of 3 or more units, a volume discount can be offered."
Can I get a discount on my first purchase from Vibe?,"As a new visitor to the Vibe website, you might encounter a pop-up for the WELCOME100 offer, which gives you a $100 discount on your purchase after signing up with an email address."
Does Vibe help with removing taxes for sales tax exempt customers?,"Yes, Vibe can help with removing the taxes from your purchase if you are sales tax exempt."
How can I adjust the volume on the Vibe Interactive Whiteboard without a remote?,"To adjust the volume on the Vibe Interactive Whiteboard without a remote, there should be manual controls on the board itself. Specific instructions can be provided once the model is confirmed."
What should I do if my Vibe Pen is not working on the Canvas setting?,"You may need to charge the stylus by connecting it to the debug port on the board via USB-C cable. If that does not resolve the issue, please reach out to our support team at support@vibe.us or submit a support ticket for assistance."
Does the Vibe Pen come with a charger?,"The pen does not come with a charger, but it can be charged using a typical USB-C cable connected to the back of the stylus."
"What is the estimated delivery time for the Vibe S1 75 Inch Interactive Whiteboard to Carrollton, GA?","The estimated delivery time within the US is approximately 5-7 business days, depending on the location."
Is there an expedited shipping option for the Vibe S1 75 Inch Interactive Whiteboard?,"Expedited shipping is not available online, but the logistics team can be consulted for possible options and associated costs."
"What is the cost for rush shipping to ensure delivery by 5/10 to Carrollton, GA?","The cost for rush shipping to ensure delivery by 5/10 to Carrollton, GA is $1488.66."
How can I make a tax-exempt purchase for a Vibe board?,"To make a tax-exempt purchase, you will need to provide your billing/shipping address, contact name, contact number, name and number of items you wish to purchase, and a copy of your sales tax-exempt form."
What do I need to provide to create a quote or purchase link?,"You need to provide your billing/shipping address, contact name, contact number, the name and number of items you wish to purchase, and a copy of your sales tax-exempt form."
Can I get a custom purchase link to complete an order without taxes for a Vibe board?,"Yes, you can receive a custom purchase link to complete your order without taxes once you provide all the necessary information and documentation for tax-exempt purchasing."
"What are the included components with the Vibe S1 55"" Interactive Whiteboard?","The Vibe Board S1 55"" comes with 1 stylus, power cord, and a quick start guide."
"What is the cost of the Vibe S1 75"" Interactive Digital Whiteboard?","The Vibe S1 75"" Interactive Digital Whiteboard costs $6,999 USD."
"What accessories come with the Vibe S1 75"" Whiteboard?","The Vibe 75"" board package includes 2 styluses, a wall mount, a remote controller, an HDMI cord & USB cable, a power cord, and a quick start guide."
How much does the stand for the Vibe board cost?,The stand for the Vibe board costs $899 USD.
Is there a discount available for purchasing multiple Vibe boards?,"Yes, discounts may be offered for purchasing multiple Vibe boards."
How can you become an affiliate of Vibe products?,"You can apply to become an affiliate by filling out a form to be evaluated for the influencer program, and someone from the marketing team will be in contact."
Is there a discount code available for purchasing the Vibe S1 on your website?,"Yes, you can use the code WELCOME100 on our Vibe website to avail of a $100 discount."
Can I apply the discount code WELCOME100 when checking out on the Vibe website?,That is correct. You can enter the WELCOME100 code in the box provided during checkout on our Vibe website.
Should the WELCOME100 code be entered in any specific format?,The code should be entered in all caps as WELCOME100.
What are the options if a Vibe board has screen issues right outside the warranty period?,Our support team will advise on the next steps once a support ticket is created and they have been contacted regarding the issue.
How can I order more vibe pens for my Vibe board?,"You can select the styluses for your board from our accessories list on the Shop Vibe Interactive Smart Whiteboards page on our website. Please scroll midway down the page and you will see the accessories. Click on the arrow on the right side of the page, then select ""Add to Cart"" for the appropriate board size."
Are Vibe orders sales tax-exempt?,"If you are sales tax-exempt, we can create a purchase link for you to complete your order without taxes. You will need to provide a copy of your sales tax exemption form or certificate."
How can I find the accessories list on the Vibe website?,"To find the accessories list on the Vibe website, scroll midway down the Shop Vibe Interactive Smart Whiteboards page. To see the stylus, click on the arrow on the right side of the page. Then, you can proceed to add it to your cart for the 75"" board size."
Does the S1 support the Company Cam app?,"The Vibe S1 boards are based on Chromium OS and support many third-party apps, including web-based apps and those from the Google Play Store. The Company Cam app, if web-based or available on Google Play, is likely to work on Vibe boards."
Can I schedule a demo to see how a particular app works on a Vibe board?,"Yes, you can schedule a demo with a Vibe team member to explore your use case, get a walk-through of the Vibe board, and see how specific apps work."
What is Vibe's return policy?,"Vibe offers a 30-day return policy. If you are not satisfied with your purchase, you can return the device within 30 days of the delivery date, covering only the cost of shipping back to the warehouse."
Why is the price in my shopping cart incorrect?,"The price might seem incorrect due to discounts that have already been applied to individual items. The original prices of the stand and the camera are higher, and the $300 discount is off their original price, not the already discounted price."
How can I apply an additional discount on my Vibe order?,You can use the discount code WELCOME100 at checkout to avail of a $100 discount.
Will I receive tracking details for my Vibe order?,"Yes, you will receive tracking details via email as soon as they become available."
Can I project an excel spreadsheet onto the Vibe board and interact with it directly on the board?,"Yes, you can connect and share an excel spreadsheet to the board and move certain aspects of it by touching the board if you use the USB-C Video Monitor Cable from a computer USB-C port to the #4-Touch USB-C port on the 55"" Vibe Board."
How do I pair my Vibe pen with the Vibe board to use it as a clicker?,"You can pair the Vibe pen with the Vibe board by following the instructions in the Vibe board S1 stylus user guide, which can be found at the provided link."
How do I troubleshoot a Vibe board's Bluetooth that won't turn on?,"If the Bluetooth toggle is unresponsive on your Vibe board, try restarting the board. If the issue persists, please reach out to the support team for further assistance."
What sizes of Vibe boards are available?,"We have two sizes available: 55"" and 75""."
What items are included with the Vibe S1 55 Inch Interactive Whiteboard?,"It comes with one active stylus, power cord, and user manual."
Are there optional accessories available for the Vibe S1 55 Inch Interactive Whiteboard?,"Yes, a portable stand and a camera are optional accessories."
Is the Vibe software included with the board?,"Yes, the Vibe software comes included with the board at no additional cost at this time."
What are the delivery options and are there any fees associated with them?,"All orders are curbside delivery which is free, unless specified otherwise for services such as inside delivery or lift gate, which incur fees."
Are quotes valid for a specific time period?,"Yes, quotes are normally valid for a month."
What kind of discounts does Vibe offer on bulk purchases?,"For bulk purchases, a 5% bulk discount is applied."
What are the payment methods accepted by Vibe?,"Payment can be made via a card, purchase orders with net 30 terms, check, ACH deposit, or wire transfer."
How can I track my Vibe board delivery?,"To track your Vibe board delivery, use the tracking information provided at the time of shipment. If you're having issues or can't find your tracking details, please contact our customer support for assistance."
What should I do if there are delivery issues at my building for my Vibe board?,"If there are known delivery issues at your building, please inform our customer support team. They can assist with special delivery instructions or coordinate with the delivery service to ensure your Vibe board arrives safely."
"Does the Vibe S1 55"" Interactive Whiteboard come with a wall mount?","The S1 55"" board does not come included with a wall mount, but it has four slots in the middle of the board for mounting which are covered with small plastic studs that need to be removed to see the holes."
"How can I find information on mounting the Vibe S1 55"" Interactive Whiteboard?",There's an article available at https://vibe.how/en/articles/7007320-wall-mounts-for-vibe-board-s1-55 with a recommended wall mount and an image to assist with the mounting process.
What are the hours for Vibe's customer service?,"The US Support Team is available Monday - Friday, 8:30am - 5:00pm Pacific Time. The offices are closed for national U.S. holidays."
How can I contact Vibe's customer service?,"You can contact Vibe's customer service through chat, email (support@vibe.us), or schedule a Zoom meeting for a more interactive session."
Is there a warranty included with a Vibe purchase?,"Yes, a standard 1-year manufacturer warranty is included with a Vibe purchase, with an option to purchase an extended warranty during checkout on the website."
How soon does the Global Support Team respond to emails?,"The Global Support Team aims to respond within 1 business day, if not sooner."
Where can I find support articles and tutorials for Vibe products?,Support articles and tutorials can be found in the Help Center and the Vibe Product Videos section on the website.
Can I modify an order to add an additional item after purchase?,"No, you cannot modify an order to add items after the purchase has been made, but the order can be cancelled so that you can place a new order including the additional item."
"If I can't modify my order, can it be cancelled?","Yes, if you cannot modify your order, it can be cancelled and you can place a new order that includes everything you need."
Do you offer dealer pricing for resale?,"Yes, we do offer dealer pricing for resale. Interested parties should visit the Vibe Reseller Program to fill in the Vibe Reseller Partner form and provide the necessary documents to receive an official reseller quote."
What documents are required to become a Vibe reseller?,"To become a Vibe reseller, you need to provide your resale certificate, W-9, and tax forms via email after completing the Vibe Reseller Partner form."
Can I get a quote for a stand for my Vibe S1 55 Inch Interactive Whiteboard after purchase?,"Yes, the sales team can provide a quote for the stand for the Vibe S1 55 Inch Interactive Whiteboard, which will be sent via email."
How will I receive the quote for the Vibe S1 stand?,The quote for the Vibe S1 stand will be sent to you via email.
How can I pull up the on-screen keyboard on the Vibe S1 55 Inch Interactive Whiteboard?,"Go to the Settings menu, click on Accessibility, scroll to the Keyboard and Text Input section, and there should be a toggle switch to enable the on-screen keyboard."
How can I switch from moving mode back to writing after doing a quick tap on the whiteboard?,"Ensure that you have the writing tool selected rather than the selection option. Essentially, select the Text option on the toolbar."
Can I install any app from the Google Play Store on the Vibe S1 55 Inch Interactive Whiteboard?,"Yes, you can install apps once you enable the Google Play Store option on your board."
Can I test the Vibe in a retail environment before buying?,"Currently, there is no physical location to test out the Vibe Board, but you can schedule an online demo."
Are there plans for Vibe products to be displayed in retail locations like Best Buy or Staples?,"As of now, Vibe products are not available in stores, but customer feedback on this matter will be considered for future plans."
What is the estimated shipping time to Maryland for an order placed today?,Shipping time to Maryland is approximately 5-7 business days after a 1-2 day order processing period.
Is there a hard shell case made for the Vibe board for shipping purposes?,"Vibe does not have a suggested shipping container, but a third-party option can be considered, or the original box with Styrofoam can be used to keep the board secure during transport."
"Can I use a second camera with the Vibe Board Pro 75""?","Yes, Vibe Board Pro 75″ is compatible with most USB-connected cameras and microphones."
Any suggestions on a second USB camera that has full rotation?,"The article ""Which cameras and microphones work with the Vibe Board Pro 75″"" in the Vibe Help Center has some camera recommendations that work with the 75"" board."
Can I use an ethernet-based camera with the Vibe boards?,"The Vibe boards support USB-connected cameras, and it's not confirmed if an ethernet-based camera will work. The recommended cameras are those USB-connected options that have been tested and proven to work with the Vibe Pro."
Do the Vibe boards allow for multiple user profiles?,"Yes, both the S1 55"" and 75"" Vibe boards support multiple user profiles and individual logins."
Can users create their own accounts on the Vibe board?,"Yes, users can create their own Vibe accounts with their email address either at app.vibe.us or directly from the board."
Is there a PIN setup option for the Vibe board?,"Yes, users can set up a PIN to quickly log into the board."
Do the Vibe boards integrate with Active Directory for sign-on?,The Vibe boards support single sign-on. More details can be found in the support article related to SAML single sign-on on Vibe's website.
"Does the Vibe S1 55"" board work with a stylus?","Yes, the Vibe S1 55"" board includes a stylus and supports digital whiteboarding with the Vibe Canvas app."
Is there a management software for Vibe boards to control settings and push out announcements?,"Yes, there is a Vibe admin portal to control settings and push out announcements."
Does Vibe offer free trials for their boards?,"Vibe does not offer a free trial, but they do have a 30-day return policy where customers can return the product if they are not satisfied and only need to cover the cost of shipping back to the warehouse."
Are virtual product demos available for Vibe boards?,"Yes, Vibe offers virtual product demos, and interested customers can schedule a session with a specialist."
Is Google Meet supported on Vibe boards?,"Google Meet should work on Vibe boards, but if you encounter issues, our support team can assist you through a support ticket."
How do I order the products once I get the PO number?,"If you would like to pay with a check, wire transfer or domestic ACH, please send us a purchase order matching the quote below. Purchase orders will be processed in 1-2 business days."
How do I send the PO?,Please send a copy of the PO to sales@vibe.us for processing.
Where should I send the check if paying by check?,"Please send the check to the remit to address on the quote document, which is PO Box 737062 Dallas TX 75373."
Is the Vibe S1 75 Inch Interactive Whiteboard UL rated?,The UL rating of the Vibe S1 75 Inch Interactive Whiteboard is currently being checked with our hardware team. We will follow up with the information via email as soon as it is confirmed.
Do the Vibe interactive whiteboards come with a built-in camera?,"No, the boards do not have built-in cameras."
Is the add-on camera just better or is it the only camera option for the Vibe boards?,The add-on camera is the only camera option for the Vibe boards as they do not come with built-in cameras.
Will the Vibe board be on sale anytime soon?,"There is no current sale, but any upcoming sales or promotions will be advertised, and customers can stay tuned to marketing emails for information."
How can I get a discount code for my purchase on the Vibe website?,"New visitors might get a pop-up on the Vibe website to sign up for the WELCOME100 offer. After entering an email address, they will receive a $100 offer code, WELCOME100, which can be used towards their purchase."
Is there free shipping for Vibe products?,"Yes, Vibe offers free shipping within the Continental US."
What kind of pens are required to write on the Vibe interactive whiteboard?,"The board comes with one active stylus, and additional active styluses or passive styluses can be purchased from the Vibe website on their accessories page."
What's the difference between passive and active pens?,"The active stylus has special buttons for eraser and page up and down and has to be paired with the board, while the passive stylus is just for writing and making selections on the board and has no special features."
Can multiple users use the interactive whiteboard at the same time?,"Yes, the S1 55"" Vibe board can facilitate up to 4 users with its 10 simultaneous touch points, while the 75"" board supports more with 20 simultaneous touch points."
Does the Vibe Board have its own computer system?,"Yes, the Vibe Board is a standalone device with its own i5 processor and can operate without being connected to a computer."
Can a computer be connected to the Vibe Board?,"Yes, a computer can be connected wirelessly or via HDMI to screencast to the Vibe Board."
Are there any apps pre-installed on the Vibe Board?,The Vibe Board comes with the Vibe Canvas app and the Chromium internet browser pre-installed.
Can my organization manage Vibe Smartboards via Jamf or Microsoft asset management?,Vibe Smartboards do not support Jamf or Microsoft asset management. The Vibe admin portal is recommended for managing these devices.
Does the Vibe S1 55 Inch Interactive Whiteboard come with a wall mount?,Most TV wall mounts that support VESA 200X200 and can support at least 65 pounds will work for the Vibe S1 55 Inch Interactive Whiteboard.
Does the Vibe S1 75 Inch Interactive Whiteboard come with a wall mount?,"Yes, the Vibe S1 75"" Pro Board comes with a complimentary wall mount included when purchased."
What is the cost of the stand for the Vibe S1 75 Inch Interactive Whiteboard?,The stand for the Vibe S1 75 Inch Interactive Whiteboard costs $899 USD.
How many devices can I stream at a time to the Vibe boards?,You can cast at least two devices to the Vibe boards at the same time.
What are the unique features of Vibe boards in comparison to competitors like OneScreen?,"The Vibe boards do not have any associated costs with subscriptions, support, training, they come with free shipping to curbside, and use a powerful I5 quad-core 8th gen processor. Vibe also has proprietary whiteboarding software called ""Canvas"". Additional benefits include no need to attach a computer for full use and no monthly/annual subscription fees unlike some competitors."
Is it easy to set up the Vibe boards once received?,"Yes, the Vibe board is plug-and-play, and setup depends on whether you choose to use it on a stand or mounted on a wall."
Do Vibe boards support Microsoft apps?,"Yes, Microsoft apps are supported on Vibe boards."
Is Affirm financing available to customers outside of the US?,"No, Affirm is only available to customers within the US."
Can I pay for Vibe products in monthly installments from outside of the US?,"While Affirm offers monthly installment options within the US, alternative payment methods such as check, wire transfer, or ACH deposit do not offer installment plans and require payment in full."
What recommendations do you have for a tutoring agency looking to facilitate hybrid classes interactively?,"Both the Vibe S1 55 Inch and the Vibe S1 75 Inch Interactive Whiteboards are suitable for teaching and can be used in various educational settings, including hybrid classes. The choice will depend on the size of the classroom."
What sizes of Vibe boards are available?,"We currently have two sizes available: 55"" and 75""."
"What is the price for the S1 55"" Vibe board?","The S1 55"" Vibe board starts at $3,299 USD."
"What is included with the S1 55"" Vibe board purchase?","It comes included with one stylus, power cord, and user manual."
"Is there a bundle available for the S1 55"" Vibe board?","Yes, the bundle includes the 55"" board, a portable stand, and camera, totaling $3,799 USD."
Is installation provided for Vibe boards?,"No, Vibe does not provide installation. The Vibe board is plug-and-play and can be mounted like a TV."
Can I get assistance with setup after purchasing a Vibe board?,"Yes, you can contact the support team at support@vibe.us for setup instructions."
Is there any offer available for new customers purchasing a Vibe board?,"New visitors to the website may find a pop-up to sign up for the WELCOME100 offer, which gives a $100 discount towards the purchase of a Vibe board."
"How much does the bundle including the 55"" board, stand, and camera cost?","The bundle cost is $3,299 USD."
How long does it take to process an order for a Vibe Board S1 55 inch?,It typically takes 1-2 days to process an order.
What is the shipping time within the US for the Vibe Board S1 55 inch?,"Shipping time within the US is approximately 5-7 business days, depending on your location."
Does Vibe offer expedited shipping for the S1 55 inch board?,"Vibe does not have expedited shipping options set up online, but they can check with their Logistics team for possible expedited shipping and associated costs if a customer is interested."
What is the return policy for Vibe products?,"Vibe offers a 30 days return policy. If not satisfied with the device, it can be returned within 30 days of the delivery date, and the customer would need to cover the cost of shipping back to the warehouse."
"What specifications are required for a wall mount to be compatible with the Vibe Board S1 55""?","The mount must support VESA 200X200, be able to support at least 65 pounds, and use an M6 screw model with a length between 12-20mm."
"Are there any recommended wall mounts for the Vibe Board S1 55""?","Yes, the Kanto PDX650 Full Motion Articulating TV Wall Mount is recommended."
What type of keyboard and mouse can be used with Vibe boards?,"Any keyboard and mouse that connect via USB-C or with an adapter from USB-A to USB-C can be used. Some recommended options are Dell Wireless Pro Keyboard and Mouse, and Rii RKM709 2.4 Gigahertz Ultra-Slim Wireless Keyboard and Mouse Combo."
What can be done if a Vibe S1 interactive whiteboard does not connect properly to a school's website and drops the connection?,Our technical support team can assist with troubleshooting the connection issues to ensure the Vibe S1 interactive whiteboard functions properly. We can provide guidance to the IT personnel at the school to resolve any connectivity problems.
Can Vibe provide a custom purchase link for tax-exempt government purchases?,"Yes, Vibe can provide a custom purchase link for tax-exempt government purchases once they receive the necessary information and sales tax-exempt form."
What information does Vibe need to process a tax-exempt purchase?,"Vibe requires the billing/shipping address, contact name, contact number, number of items wished to be purchased, and a copy of the sales tax-exempt form for tax-exempt purchases."
"What are the requirements for a wall mount for the S1 55"" Vibe board?",The wall mount must support VESA 200X200 and be able to support at least 65 pounds.
Do you offer any government discounts?,We do not have a government discount but offer bulk discounts for purchases of 3 or more boards.
Can I get any discount if I am ordering just one board?,You can use the WELCOME100 discount for $100 off your first order when you sign up on our website.
Can taxes be removed from my order?,"Yes, we can remove the taxes from your order once you provide your sales tax-exempt certificate."
Do you offer free shipping?,We offer free shipping within the Continental US.
Can I access Vibe Board from multiple phones like mine and my drivers' phones?,"Yes, you can access the Vibe Canvas whiteboarding feature from multiple devices including phones, tablets, computers, or additional Vibe Boards for collaboration, using our cloud-based software."
Is the mobile app for Vibe Canvas collaborative?,"No, at this time, our mobile app is view-only and does not allow for collaboration."
What are the dimensions of the Vibe Stand for the S1 55 Inch Interactive Whiteboard?,"The dimensions of the Vibe Stand for the S1 55"" can be found in the attachment provided by the salesperson, specifically at the bottom right of the page."
Can the Vibe S1 55 Inch Interactive Whiteboard be wall-mounted?,"Yes, the Vibe S1 55 Inch Interactive Whiteboard can be wall-mounted."
Are third-party stands compatible with the Vibe S1 55 Inch Interactive Whiteboard?,"Yes, third-party stands can be considered for use with the Vibe S1 55 Inch Interactive Whiteboard."
